"Population density in rings moving out from central business district, in 1-mile increments",2010 population,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
"New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area",18897109,78522,80951,65912,58140,75950,75092,57434,54632,45041,52924,46835,44316,33885,22200,18109,14493,12052,9895,6687,6727,7061,5197,5355,4649,4960,5480,5083,5691,6939,4357,2597,3875,3628,4413,4124,2511,2585,3010,2675,3347,2973,2502,2949,3656,5032,1982,2335,2229,2737,2127,2242,3359,2944,2087,2341,1826,1602,1014,2462,2039,1504,2280,875,1071,448,359,1352,251,1510,370,359,1460,332,810,349,502,131,980,463,1049,1167,555,842,0,396,526,0,0,280,2286,173
"Los Angeles-Long Beach-Santa Ana, CA Metro Area",12828837,22979,31023,26709,26764,19861,17435,17712,15827,12425,12345,11500,12676,11926,11211,12404,9468,10613,13732,12059,13220,9849,8436,9447,8157,8979,7344,8364,8010,7797,10960,9985,8645,7382,8692,5804,6305,6311,5366,2537,1733,1239,2005,3872,5854,5796,4891,6251,4978,3680,4159,4287,5464,2735,3444,1116,0,7366,5647,2551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chicago-Joliet-Naperville, IL-IN-WI Metro Area",9461105,30240,30710,21981,22867,22910,23442,21501,22004,17331,14004,9399,7999,8124,6534,5364,5041,4764,4883,4325,4646,4561,3135,3992,4045,3760,3606,4352,3491,3234,2921,2390,2854,2788,3276,4988,4888,3271,2713,2463,1860,1598,2342,1670,1918,1956,703,932,1543,2956,2138,3499,1906,1381,519,964,901,335,2348,3680,2320,60,19,276,115,0,0,0,0,0,73,52,0,0,0,28,0,34,30,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dallas-Fort Worth-Arlington, TX Metro Area",6371773,3507,5560,7859,6106,5625,5909,8108,6545,5335,5123,5560,5959,5342,4663,3913,4551,4942,4057,3813,3519,3609,3903,3203,3036,3106,2531,2583,3026,3440,3054,2352,2431,2231,2904,3630,2777,2977,1405,1796,2657,775,678,184,563,551,2188,1196,374,89,151,102,34,315,43,121,303,494,1284,63,789,950,149,0,252,0,0,58,0,43,0,0,0,0,0,0,12,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",5965343,31939,26673,24705,19959,17306,14653,11861,13181,10582,5839,4538,4678,4406,4997,4401,3930,2726,2198,2331,2292,2778,2327,2639,3499,3263,5708,2280,2183,1442,1896,1782,1679,2869,2300,2745,2762,2016,1732,1034,593,1145,1399,634,372,1171,0,220,464,264,245,108,411,273,0,357,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Houston-Sugar Land-Baytown, TX Metro Area",5946800,19010,6292,6300,5025,5330,5583,6371,8795,5527,5642,5544,6737,6086,5266,5138,3840,4143,4092,4076,4213,3106,3319,2731,2757,2051,1992,1752,1319,1285,1264,1822,955,1362,426,548,684,1237,1977,1004,719,1139,232,288,223,923,352,4608,2206,653,925,1829,1845,28,116,1731,53,168,24,0,43,60,0,0,0,0,0,19,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",5582170,32199,24858,23911,12696,13071,10488,9159,8932,6935,5448,5306,5231,4326,4843,3913,3424,3698,3403,4041,4501,5751,4705,4911,3481,4675,3390,2827,2304,1219,1482,1186,3226,2386,1204,1718,300,1613,1443,1093,1554,305,2271,3934,1835,1259,1405,561,1917,846,1105,1406,1724,1979,894,194,420,224,114,235,0,396,0,1590,1244,87,55,146,69,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",5564635,10053,9946,15447,18178,12768,11494,11778,10646,8500,10206,9022,11184,10302,7741,7033,12429,7898,8779,6754,7271,5672,4649,4528,2628,3438,3689,3965,5440,5357,8268,7346,6595,6558,6538,6237,4826,5860,6409,5606,4508,4310,5460,4298,3988,3436,3286,2851,2893,3113,4532,4089,3760,2814,2535,3349,4870,3984,4223,5257,4858,3598,5663,5794,5831,5442,3257,3481,3917,3981,2330,3681,4178,2606,1495,3384,4032,3198,4748,2130,1243,96,2899,1974,3125,3578,2897,0,0,0,0,0
"Atlanta-Sandy Springs-Marietta, GA Metro Area",5268860,6633,8769,6117,3306,3510,3949,3538,3189,3791,2947,3342,2654,3165,3145,3331,2371,2333,2022,1974,2470,1960,2457,1765,1898,1919,2020,1560,1372,758,1322,1201,622,822,779,832,662,538,535,385,358,417,794,396,261,193,174,119,194,184,92,145,101,102,32,0,0,0,25,0,0,0,36,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Boston-Cambridge-Quincy, MA-NH Metro Area",4552402,40001,35550,25544,22119,16615,11440,7919,6319,6877,8150,4842,2751,2334,4444,2429,2597,2094,2518,2689,3723,2223,1730,2650,5606,6296,6261,2685,1215,2891,3226,871,827,1946,965,705,1034,689,581,825,843,876,1068,992,453,367,743,359,564,597,257,1290,4237,975,1146,990,0,1020,0,1359,1580,0,704,881,591,0,2016,0,659,0,0,182,0,0,0,139,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"San Francisco-Oakland-Fremont, CA Metro Area",4335391,58805,32013,21486,21289,21535,18626,12378,9990,12459,14392,13597,13930,9276,11642,6980,6285,5323,6901,7520,5454,6451,6160,4523,8163,7344,5597,7069,5953,4336,5426,5420,4652,3430,4951,2851,7029,3692,4762,3086,2522,4036,1870,1064,44,388,1652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Detroit-Warren-Livonia, MI Metro Area",4296250,6963,6691,6230,5902,7280,6347,6627,6583,6497,6228,5729,5268,5176,4328,4424,3953,4182,3536,3216,2837,3319,2973,2833,2554,2324,2471,2495,2460,2059,1689,1222,1349,1624,1636,503,828,753,610,764,1198,780,454,465,443,1169,503,391,887,264,1281,631,1133,1239,1668,1922,1190,2267,623,191,0,156,0,0,0,128,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Riverside-San Bernardino-Ontario, CA Metro Area",4224851,4485,6302,5133,4453,3614,5312,4307,7119,6264,6551,5580,5382,4762,4419,5815,6418,6010,5589,4089,5109,3900,2420,2403,2359,2211,1323,2539,3523,3345,3079,3381,2003,3294,2043,2792,2936,2081,3108,2649,1439,183,639,0,10,0,0,72,114,2357,2405,2735,1288,2771,6822,3115,625,504,1023,79,3030,2269,927,954,1792,3268,2289,2950,4480,4084,5722,1278,6048,4654,167,753,0,485,9,0,0,0,2,136,0,0,0,1,0,0,0,0
